"";"Knro";"Kunta";"Keskusryhma"
"110";"287";"Kristiinankaupunki";"Maaseutumaiset kunnat"
"111";"288";"Kruunupyy";"Maaseutumaiset kunnat"
"112";"290";"Kuhmo";"Taajaan asutut kunnat"
"113";"291";"Kuhmoinen";"Maaseutumaiset kunnat"
"114";"295";"Kumlinge";"Maaseutumaiset kunnat"
"115";"297";"Kuopio";"Keskus - yliopisto"
"116";"300";"Kuortane";"Maaseutumaiset kunnat"
"117";"301";"Kurikka";"Taajaan asutut kunnat"
"118";"304";"Kustavi";"Maaseutumaiset kunnat"
"119";"305";"Kuusamo";"Taajaan asutut kunnat"
"120";"309";"Outokumpu";"Taajaan asutut kunnat"
"121";"312";"Kyyjärvi";"Maaseutumaiset kunnat"
"122";"316";"Kärkölä";"Maaseutumaiset kunnat"
"123";"317";"Kärsämäki";"Maaseutumaiset kunnat"
"124";"318";"Kökar";"Maaseutumaiset kunnat"
"125";"320";"Kemijärvi";"Taajaan asutut kunnat"
"126";"322";"Kemiönsaari";"Maaseutumaiset kunnat"
"127";"398";"Lahti";"Keskus - muut"
"128";"399";"Laihia";"Taajaan asutut kunnat"
"129";"400";"Laitila";"Taajaan asutut kunnat"
"130";"402";"Lapinlahti";"Maaseutumaiset kunnat"
"131";"403";"Lappajärvi";"Maaseutumaiset kunnat"
"132";"405";"Lappeenranta";"Keskus - yliopisto"
"133";"407";"Lapinjärvi";"Maaseutumaiset kunnat"
"134";"408";"Lapua";"Taajaan asutut kunnat"
"135";"410";"Laukaa";"Taajaan asutut kunnat"
"136";"416";"Lemi";"Maaseutumaiset kunnat"
"137";"417";"Lemland";"Maaseutumaiset kunnat"
"138";"418";"Lempäälä";"Kaupunkimaiset kunnat"
"139";"420";"Leppävirta";"Maaseutumaiset kunnat"
"140";"421";"Lestijärvi";"Maaseutumaiset kunnat"
"141";"422";"Lieksa";"Taajaan asutut kunnat"
"142";"423";"Lieto";"Taajaan asutut kunnat"
"143";"425";"Liminka";"Taajaan asutut kunnat"
"144";"426";"Liperi";"Maaseutumaiset kunnat"
"145";"430";"Loimaa";"Taajaan asutut kunnat"
"146";"433";"Loppi";"Maaseutumaiset kunnat"
"147";"434";"Loviisa";"Taajaan asutut kunnat"
"148";"435";"Luhanka";"Maaseutumaiset kunnat"
"149";"436";"Lumijoki";"Maaseutumaiset kunnat"
"150";"438";"Lumparland";"Maaseutumaiset kunnat"
"151";"440";"Luoto";"Maaseutumaiset kunnat"
"152";"441";"Luumäki";"Maaseutumaiset kunnat"
"153";"442";"Luvia";"Maaseutumaiset kunnat"
"154";"444";"Lohja";"Kaupunkimaiset kunnat"
"155";"445";"Parainen";"Taajaan asutut kunnat"
"156";"475";"Maalahti";"Maaseutumaiset kunnat"
"157";"478";"Maarianhamina";"Keskus - muut"
"158";"480";"Marttila";"Maaseutumaiset kunnat"
"159";"481";"Masku";"Taajaan asutut kunnat"
"160";"483";"Merijärvi";"Maaseutumaiset kunnat"
"161";"484";"Merikarvia";"Maaseutumaiset kunnat"
"162";"489";"Miehikkälä";"Maaseutumaiset kunnat"
"163";"491";"Mikkeli";"Keskus - muut"
"164";"494";"Muhos";"Taajaan asutut kunnat"
"165";"495";"Multia";"Maaseutumaiset kunnat"
"166";"498";"Muonio";"Maaseutumaiset kunnat"
"167";"499";"Mustasaari";"Taajaan asutut kunnat"
"168";"500";"Muurame";"Taajaan asutut kunnat"
"169";"503";"Mynämäki";"Maaseutumaiset kunnat"
"170";"504";"Myrskylä";"Maaseutumaiset kunnat"
"171";"505";"Mäntsälä";"Taajaan asutut kunnat"
"172";"507";"Mäntyharju";"Maaseutumaiset kunnat"
"173";"508";"Mänttä-Vilppula";"Taajaan asutut kunnat"
"174";"529";"Naantali";"Taajaan asutut kunnat"
"175";"531";"Nakkila";"Taajaan asutut kunnat"
"176";"535";"Nivala";"Taajaan asutut kunnat"
"177";"536";"Nokia";"Kaupunkimaiset kunnat"
"178";"538";"Nousiainen";"Maaseutumaiset kunnat"
"179";"541";"Nurmes";"Taajaan asutut kunnat"
"180";"543";"Nurmijärvi";"Kaupunkimaiset kunnat"
"181";"545";"Närpiö";"Maaseutumaiset kunnat"
"182";"560";"Orimattila";"Taajaan asutut kunnat"
"183";"561";"Oripää";"Maaseutumaiset kunnat"
"184";"562";"Orivesi";"Taajaan asutut kunnat"
"185";"563";"Oulainen";"Taajaan asutut kunnat"
"186";"564";"Oulu";"Keskus - yliopisto"
"187";"576";"Padasjoki";"Maaseutumaiset kunnat"
"188";"577";"Paimio";"Taajaan asutut kunnat"
"189";"578";"Paltamo";"Maaseutumaiset kunnat"
"190";"580";"Parikkala";"Maaseutumaiset kunnat"
"191";"581";"Parkano";"Taajaan asutut kunnat"
"192";"583";"Pelkosenniemi";"Maaseutumaiset kunnat"
"193";"584";"Perho";"Maaseutumaiset kunnat"
"194";"588";"Pertunmaa";"Maaseutumaiset kunnat"
"195";"592";"Petäjävesi";"Maaseutumaiset kunnat"
"196";"593";"Pieksämäki";"Taajaan asutut kunnat"
"197";"595";"Pielavesi";"Maaseutumaiset kunnat"
"198";"598";"Pietarsaari";"Kaupunkimaiset kunnat"
"199";"599";"Pedersören kunta";"Maaseutumaiset kunnat"
"200";"601";"Pihtipudas";"Maaseutumaiset kunnat"
"201";"604";"Pirkkala";"Kaupunkimaiset kunnat"
"202";"607";"Polvijärvi";"Maaseutumaiset kunnat"
"203";"608";"Pomarkku";"Maaseutumaiset kunnat"
"204";"609";"Pori";"Keskus - muut"
"205";"611";"Pornainen";"Maaseutumaiset kunnat"
"206";"614";"Posio";"Maaseutumaiset kunnat"
"207";"615";"Pudasjärvi";"Maaseutumaiset kunnat"
"208";"616";"Pukkila";"Maaseutumaiset kunnat"
"209";"619";"Punkalaidun";"Maaseutumaiset kunnat"
"210";"620";"Puolanka";"Maaseutumaiset kunnat"
"211";"623";"Puumala";"Maaseutumaiset kunnat"
"212";"624";"Pyhtää";"Maaseutumaiset kunnat"
"213";"625";"Pyhäjoki";"Maaseutumaiset kunnat"
"214";"626";"Pyhäjärvi";"Maaseutumaiset kunnat"
"215";"630";"Pyhäntä";"Maaseutumaiset kunnat"
"216";"631";"Pyhäranta";"Maaseutumaiset kunnat"
"217";"635";"Pälkäne";"Maaseutumaiset kunnat"
"218";"636";"Pöytyä";"Maaseutumaiset kunnat"
"219";"638";"Porvoo";"Kaupunkimaiset kunnat"
"220";"678";"Raahe";"Kaupunkimaiset kunnat"
"221";"680";"Raisio";"Kaupunkimaiset kunnat"
"222";"681";"Rantasalmi";"Maaseutumaiset kunnat"
"223";"683";"Ranua";"Maaseutumaiset kunnat"
"224";"684";"Rauma";"Kaupunkimaiset kunnat"
"225";"686";"Rautalampi";"Maaseutumaiset kunnat"
"226";"687";"Rautavaara";"Maaseutumaiset kunnat"
"227";"689";"Rautjärvi";"Maaseutumaiset kunnat"
"228";"691";"Reisjärvi";"Maaseutumaiset kunnat"
"229";"694";"Riihimäki";"Kaupunkimaiset kunnat"
"230";"697";"Ristijärvi";"Maaseutumaiset kunnat"
"231";"698";"Rovaniemi";"Keskus - yliopisto"
"232";"700";"Ruokolahti";"Maaseutumaiset kunnat"
"233";"702";"Ruovesi";"Maaseutumaiset kunnat"
"234";"704";"Rusko";"Maaseutumaiset kunnat"
"235";"707";"Rääkkylä";"Maaseutumaiset kunnat"
"236";"710";"Raasepori";"Taajaan asutut kunnat"
"237";"729";"Saarijärvi";"Maaseutumaiset kunnat"
"238";"732";"Salla";"Maaseutumaiset kunnat"
"239";"734";"Salo";"Kaupunkimaiset kunnat"
"240";"736";"Saltvik";"Maaseutumaiset kunnat"
"241";"738";"Sauvo";"Maaseutumaiset kunnat"
"242";"739";"Savitaipale";"Maaseutumaiset kunnat"
"243";"740";"Savonlinna";"Kaupunkimaiset kunnat"
"244";"742";"Savukoski";"Maaseutumaiset kunnat"
"245";"743";"Seinäjoki";"Keskus - muut"
"246";"746";"Sievi";"Maaseutumaiset kunnat"
"247";"747";"Siikainen";"Maaseutumaiset kunnat"
"248";"748";"Siikajoki";"Maaseutumaiset kunnat"
"249";"749";"Siilinjärvi";"Taajaan asutut kunnat"
"250";"751";"Simo";"Maaseutumaiset kunnat"
"251";"753";"Sipoo";"Taajaan asutut kunnat"
"252";"755";"Siuntio";"Maaseutumaiset kunnat"
"253";"758";"Sodankylä";"Taajaan asutut kunnat"
"254";"759";"Soini";"Maaseutumaiset kunnat"
"255";"761";"Somero";"Maaseutumaiset kunnat"
"256";"762";"Sonkajärvi";"Maaseutumaiset kunnat"
"257";"765";"Sotkamo";"Maaseutumaiset kunnat"
"258";"766";"Sottunga";"Maaseutumaiset kunnat"
"259";"768";"Sulkava";"Maaseutumaiset kunnat"
"260";"771";"Sund";"Maaseutumaiset kunnat"
"261";"777";"Suomussalmi";"Taajaan asutut kunnat"
"262";"778";"Suonenjoki";"Taajaan asutut kunnat"
"263";"781";"Sysmä";"Maaseutumaiset kunnat"
"264";"783";"Säkylä";"Maaseutumaiset kunnat"
"265";"785";"Vaala";"Maaseutumaiset kunnat"
"266";"790";"Sastamala";"Taajaan asutut kunnat"
"267";"791";"Siikalatva";"Maaseutumaiset kunnat"
"268";"831";"Taipalsaari";"Maaseutumaiset kunnat"
"269";"832";"Taivalkoski";"Maaseutumaiset kunnat"
"270";"833";"Taivassalo";"Maaseutumaiset kunnat"
"271";"834";"Tammela";"Maaseutumaiset kunnat"
"272";"837";"Tampere";"Keskus - yliopisto"
"273";"844";"Tervo";"Maaseutumaiset kunnat"
"274";"845";"Tervola";"Maaseutumaiset kunnat"
